,ID,USER_ID,SUBSCRIPTION_BEGIN_DATE,SUBSCRIPTION_END_DATE,PRODUCT_NAME
0,15693516,ae741c8cac8927c28ed6ba664b92e21790451a40,2021-10-30 09:22:45,2022-10-30 02:00:00,Molotov Plus
1,29874774,108fa3ba55652192ec5e5228c9ad3046cae83a95,2023-06-11 22:47:18,,Molotov Extra
2,4560393,22e1710d834e97bced710dfefbf2f712264d08c1,2018-06-29 01:22:52,2018-07-28 05:09:38,Molotov Extended
3,28736301,7b57746a067ca784a5d5520706b9032df7249667,2023-01-30 20:49:17,2023-04-30 20:49:14,Molotov Extra
4,30053859,d9a382d5c47234795e7cb2b12218032142cb5c10,2023-07-06 07:10:53,2023-08-06 02:00:00,Molotov Giga
5,23706711,d9a382d5c47234795e7cb2b12218032142cb5c10,2022-09-11 18:38:46,,Molotov Extra
6,18222255,d9a382d5c47234795e7cb2b12218032142cb5c10,2022-02-08 07:54:25,2022-09-11 17:33:16,Molotov Plus
7,8349495,70dcf465d6a113952fb622b9b336dc6a906d4eec,2019-10-27 09:53:10,2019-12-27 10:53:10,Molotov Plus
8,10270329,5cac860376665eb53d75bb5ecf690f877e6e3fa9,2020-11-28 20:55:54,2022-02-28 20:55:54,Molotov Plus
9,19914381,5cac860376665eb53d75bb5ecf690f877e6e3fa9,2022-04-19 20:49:14,2022-04-19 20:49:14,Molotov Plus
10,29033979,5cac860376665eb53d75bb5ecf690f877e6e3fa9,2023-03-24 19:43:36,,Molotov Extra
11,20597211,5cac860376665eb53d75bb5ecf690f877e6e3fa9,2022-05-11 21:00:39,2023-05-11 21:00:39,Molotov Plus
12,18579945,5cac860376665eb53d75bb5ecf690f877e6e3fa9,2021-08-06 22:00:02,2021-08-06 22:00:02,Molotov Plus
13,24485451,2a143345fa48f2caf7c38178507602b4f0f5ba95,2022-09-21 22:42:23,2022-10-21 02:00:00,Molotov Giga
14,15379803,458c4797b120a1ba142e78eb3bad34bffacb51de,2021-10-14 15:13:11,2022-10-17 07:06:56,Molotov Plus
15,24369318,458c4797b120a1ba142e78eb3bad34bffacb51de,2022-09-20 14:57:57,2022-10-23 07:23:03,Molotov Giga
16,25532736,28a143fabc185ccc4b74ce8d86b6cd5e8e85cbf3,2022-10-17 11:31:22,,Molotov Giga
17,21762813,28a143fabc185ccc4b74ce8d86b6cd5e8e85cbf3,2022-06-26 10:40:11,,Molotov Plus
18,18639333,28a143fabc185ccc4b74ce8d86b6cd5e8e85cbf3,2022-02-22 20:32:23,2022-06-24 21:19:16,Molotov Plus
19,10004631,fe63c97fec1d44ae4bca92c21e413fde382ed736,2020-10-31 16:19:18,2021-12-09 06:12:11,Molotov Extended
20,16601079,fe63c97fec1d44ae4bca92c21e413fde382ed736,2021-12-14 11:45:51,2023-05-17 07:31:16,Molotov Plus
21,10035975,fe63c97fec1d44ae4bca92c21e413fde382ed736,2020-11-05 20:52:07,2021-12-14 06:05:48,Molotov Plus
22,29628489,fe63c97fec1d44ae4bca92c21e413fde382ed736,2023-05-17 20:19:30,,Molotov Extra
23,17741526,fe63c97fec1d44ae4bca92c21e413fde382ed736,2022-01-21 05:19:03,2022-05-30 07:12:05,Molotov Extended
24,16514370,fe63c97fec1d44ae4bca92c21e413fde382ed736,2021-12-09 23:15:16,2022-01-18 06:12:13,Molotov Extended
25,21064335,fe63c97fec1d44ae4bca92c21e413fde382ed736,2022-05-31 21:33:56,,Molotov Extended
26,21064422,fe63c97fec1d44ae4bca92c21e413fde382ed736,2022-05-31 21:36:45,2022-06-30 21:36:41,Molotov Giga
27,21104949,fe63c97fec1d44ae4bca92c21e413fde382ed736,2022-06-01 23:04:48,,Molotov Giga
28,30202800,ee1b7f4fb02425b08e7d01e7a97b2e0ba3e2e528,2023-07-15 02:00:00,2023-07-18 22:49:25,Molotov Plus
29,30235095,ee1b7f4fb02425b08e7d01e7a97b2e0ba3e2e528,2023-07-17 02:00:00,2023-07-18 22:50:00,Molotov Giga
30,18496602,ee1b7f4fb02425b08e7d01e7a97b2e0ba3e2e528,2022-02-15 20:49:07,,Molotov Plus
31,25490013,ee1b7f4fb02425b08e7d01e7a97b2e0ba3e2e528,2022-10-17 11:12:54,,Molotov Giga
32,30750384,eb82a594316329bc0d786b8e10e29e34c458c3d9,2023-09-01 18:35:44,,Molotov Extra
33,19409727,eb82a594316329bc0d786b8e10e29e34c458c3d9,2022-03-30 10:51:53,2022-05-09 07:19:17,Molotov Plus
34,20978367,0ce1406865008363dae9b1cc2e666cfa763a7df2,2022-05-28 20:59:50,2022-11-28 20:59:50,Molotov Plus
35,21019365,0ce1406865008363dae9b1cc2e666cfa763a7df2,2022-05-29 18:51:36,2022-11-29 18:51:36,Molotov Giga
36,20967801,18e6e71d497b2688dfae458c8be6bd3ac41befa9,2022-05-28 19:53:48,2022-12-04 22:53:17,Molotov Plus
37,27754620,a231c95315a7fb86b19b2335a72d0baa0096a6b1,2022-12-14 21:32:34,2023-03-17 17:47:34,Molotov Extra
38,17031603,38c49c39938ecacce700bbaa676bf2a50664ae25,2021-12-28 14:00:08,,Molotov Plus
39,18575214,c01b38433906a145937be7cb5f62f6135060b010,2022-02-19 13:55:44,2022-06-04 14:55:34,Molotov Plus
40,21338340,c138bff8428913d2b50adf73632b2cf3d1264f15,2022-06-06 12:03:14,,Molotov Plus
41,18779007,c138bff8428913d2b50adf73632b2cf3d1264f15,2022-03-02 20:03:33,2022-06-02 20:03:33,Molotov Plus
42,20573130,ce6f1dc3c1a8c3fb78f46c68b1232ac3eb19c45f,2022-05-10 13:00:41,2022-07-16 13:00:35,Molotov Plus
43,30451833,00452a6db3b6f74fb6837b6fde394d7e35897068,2023-07-31 22:06:30,2023-08-31 22:06:25,Molotov Extra
44,30452571,ba803ee29b4b4ed1c42adc61c62c55839b3b313a,2023-08-01 00:21:13,2023-09-01 00:21:14,Molotov Extra
45,24881205,c69cd3213ba5793a6d7abf31139a758f5bafa114,2022-10-03 03:18:45,2022-11-03 02:18:45,Molotov Extra
46,24881208,c69cd3213ba5793a6d7abf31139a758f5bafa114,2022-09-17 00:31:42,2022-10-17 00:31:42,Molotov Plus
47,20556723,c69cd3213ba5793a6d7abf31139a758f5bafa114,2022-05-08 18:44:04,2022-09-08 18:44:04,Molotov Plus
48,31266708,c69cd3213ba5793a6d7abf31139a758f5bafa114,2023-10-26 03:42:16,,Molotov Extra
49,18083514,c69cd3213ba5793a6d7abf31139a758f5bafa114,2022-02-05 00:13:37,2022-05-05 00:13:37,Molotov Plus
50,26511987,c69cd3213ba5793a6d7abf31139a758f5bafa114,2022-11-04 12:11:17,2022-12-04 13:11:17,Molotov Plus
